secondhandsong_ID, wiki_nominated_ID
204,Q108805763
3,Q57836536
6287,Q57836536
61,Q15272117
1469,Q15272117
156,Q15272117
599,Q28132505
615,Q28132505
571,Q28132505
6157,Q28132505
6159,Q28132505
6,Q28132505
169,Q28132505
5435,Q28132505
7,Q15275920
3830,Q15275920
8,Q14661781
263,Q14661781
6152,Q14661781
3819,Q16326586
2048,Q16326586
11,Q16326586
5638,Q16326586
4464,Q16326586
165,Q20962306
2728,Q15114662
5660,Q57461813
3721,Q57461813
145,Q57461813
1690,Q57461813
368,Q57461813
97,Q18786541
552,Q47555246
2139,Q47555246
639,Q47555246
26,Q18559542
32,Q14559271
201,Q14559271
3572,Q14559271
99,Q28572509
34,Q28572509
127,Q20992398
42,Q20992398
344,Q51010649
2695,Q51010649
281,Q51010649
102,Q51010649
3072,Q13422120
955,Q13422120
4195,Q13422120
46,Q13422120
5770,Q97631372
6640,Q97631372
5769,Q97631372
470,Q97631372
1893,Q97631372
378,Q97631372
2391,Q97631372
486,Q97631372
1190,Q97631372
888,Q97631372
1970,Q63254249
1672,Q63254249
72,Q104774451
487,Q104774451
991,Q104905095
5615,Q104905095
250,Q104905095
5931,Q62618893
1287,Q62618893
280,Q62618893
83,Q62618893
2350,Q62618893
4552,Q62618893
5067,Q62618893
1592,Q84761142
225,Q84761142
1725,Q15087926
96,Q15087926
4398,Q15087926
454,Q15087926
3450,Q951715
1825,Q951715
115,Q951715
81,Q12252332
689,Q83548825
5509,Q83548825
154,Q72008699
542,Q24664844
747,Q24664844
119,Q24664844
108,Q19851006
6540,Q19851006
5736,Q19851006
2313,Q19851006
1454,Q19851006
180,Q75219631
161,Q106341597
161,Q62587323
8674,Q106341597
8674,Q62587323
609,Q105865170
4097,Q28842326
4091,Q28842326
167,Q28842326
4093,Q28842326
2411,Q15284481
194,Q15284481
2759,Q98073193
268,Q98073193
1237,Q15054054
270,Q15054054
594,Q65427491
1661,Q65427491
3357,Q65427491
2155,Q65427491
1919,Q96474551
2867,Q96474551
610,Q22662704
558,Q85806617
793,Q15727557
2705,Q13461348
3997,Q16011758
852,Q16011758
4003,Q16011758
2230,Q16011758
916,Q15784282
1082,Q18823031
5700,Q54805365
5558,Q96321341
1288,Q61439722
1435,Q15256297
1744,Q19508151
8930,Q19508151
1855,Q18301819
2582,Q105710792
2573,Q97153993
2835,Q106644914
4586,Q5621290
6070,Q85131541
6253,Q108415675
