song,songLabel,release_date,performerLabel,nominatedLabel,awardLabel
http://www.wikidata.org/entity/Q16323774,Intelligent,2012-01-01T00:00:00Z,Raske Penge,Q108712768,
http://www.wikidata.org/entity/Q17628069,Q17628069,2012-01-01T00:00:00Z,C2C,,Victoire du vidéo-clip
http://www.wikidata.org/entity/Q109659406,Q109659406,2012-01-15T00:00:00Z,Svetlana Loboda,YUNA,
http://www.wikidata.org/entity/Q858020,Frontside Ollie,2012-01-16T00:00:00Z,Robin Packalen,,platinum record
http://www.wikidata.org/entity/Q3878196,Non è l'inferno,2012-02-15T00:00:00Z,Emma Marrone,,Sanremo Music Festival award
http://www.wikidata.org/entity/Q1359637,There She Goes,2012-04-20T00:00:00Z,Pitbull,,gold record
http://www.wikidata.org/entity/Q1359637,There She Goes,2012-04-20T00:00:00Z,Taio Cruz,,gold record
http://www.wikidata.org/entity/Q881555,Kran Turismo,2012-05-11T00:00:00Z,Raappana,,gold record
http://www.wikidata.org/entity/Q881555,Kran Turismo,2012-05-11T00:00:00Z,JVG,,gold record
http://www.wikidata.org/entity/Q107494555,Quatre Mains,2012-06-04T00:00:00Z,Deus,Q2443005,
http://www.wikidata.org/entity/Q951715,Summertime Sadness,2012-06-22T00:00:00Z,Lana Del Rey,,Grammy Awards
http://www.wikidata.org/entity/Q1097089,Doom and Gloom,2012-10-11T00:00:00Z,The Rolling Stones,Grammy Award for Best Rock Song,
http://www.wikidata.org/entity/Q15272117,I See Fire,2013-01-01T00:00:00Z,Ed Sheeran,Satellite Award for Best Original Song,
http://www.wikidata.org/entity/Q16156194,Fire We Make,2013-01-01T00:00:00Z,Alicia Keys,NAACP Image Award for Outstanding Song,
http://www.wikidata.org/entity/Q16156194,Fire We Make,2013-01-01T00:00:00Z,Maxwell,NAACP Image Award for Outstanding Song,
http://www.wikidata.org/entity/Q16156194,Fire We Make,2013-01-01T00:00:00Z,Alicia Keys,NAACP Image Award for Outstanding Duo or Group,
http://www.wikidata.org/entity/Q16156194,Fire We Make,2013-01-01T00:00:00Z,Maxwell,NAACP Image Award for Outstanding Duo or Group,
http://www.wikidata.org/entity/Q3815210,Killer,2013-01-25T00:00:00Z,Tiziano Ferro,,platinum record
http://www.wikidata.org/entity/Q3815210,Killer,2013-01-25T00:00:00Z,Baby K,,platinum record
http://www.wikidata.org/entity/Q14651900,Vapaus käteen jää,2013-02-01T00:00:00Z,Haloo Helsinki!,,platinum record
http://www.wikidata.org/entity/Q5621290,L'essenziale,2013-02-13T00:00:00Z,Marco Mengoni,,Sanremo Music Festival award
http://www.wikidata.org/entity/Q16156194,Fire We Make,2013-03-28T00:00:00Z,Alicia Keys,NAACP Image Award for Outstanding Song,
http://www.wikidata.org/entity/Q16156194,Fire We Make,2013-03-28T00:00:00Z,Maxwell,NAACP Image Award for Outstanding Song,
http://www.wikidata.org/entity/Q16156194,Fire We Make,2013-03-28T00:00:00Z,Alicia Keys,NAACP Image Award for Outstanding Duo or Group,
http://www.wikidata.org/entity/Q16156194,Fire We Make,2013-03-28T00:00:00Z,Maxwell,NAACP Image Award for Outstanding Duo or Group,
http://www.wikidata.org/entity/Q16011758,Stolen Dance,2013-04-05T00:00:00Z,Milky Chance,,1 Live Krone
http://www.wikidata.org/entity/Q11688409,God Is Dead?,2013-04-19T00:00:00Z,Black Sabbath,Grammy Award for Best Rock Song,
http://www.wikidata.org/entity/Q13403109,Levikset repee,2013-04-19T00:00:00Z,Sini Sabotage,,gold record
http://www.wikidata.org/entity/Q13403109,Levikset repee,2013-04-19T00:00:00Z,VilleGalle,,gold record
http://www.wikidata.org/entity/Q12252332,Young and Beautiful,2013-04-23T00:00:00Z,Lana Del Rey,,Satellite Award for Best Original Song
http://www.wikidata.org/entity/Q12252332,Young and Beautiful,2013-04-23T00:00:00Z,Lana Del Rey,Grammy Award for Best Song Written for Visual Media,
http://www.wikidata.org/entity/Q12252332,Young and Beautiful,2013-04-23T00:00:00Z,Lana Del Rey,Broadcast Film Critics Association Award for Best Song,
http://www.wikidata.org/entity/Q12252332,Young and Beautiful,2013-04-23T00:00:00Z,Lana Del Rey,Satellite Award for Best Original Song,
http://www.wikidata.org/entity/Q13461348,Formidable,2013-06-04T00:00:00Z,Stromae,,NRJ Music Award de la chanson francophone de l'année
http://www.wikidata.org/entity/Q13422120,Counting Stars,2013-06-14T00:00:00Z,OneRepublic,Billboard Music Award for Digital Song of the Year,
http://www.wikidata.org/entity/Q14661781,Wrecking Ball,2013-08-01T00:00:00Z,Miley Cyrus,Juno Award for Songwriter of the Year,
http://www.wikidata.org/entity/Q14559271,Roar,2013-08-10T00:00:00Z,Katy Perry,Grammy Award for Song of the Year,
http://www.wikidata.org/entity/Q14559271,Roar,2013-08-10T00:00:00Z,Katy Perry,Juno Award for Songwriter of the Year,
http://www.wikidata.org/entity/Q14559271,Roar,2013-08-10T00:00:00Z,Katy Perry,Billboard Music Award for Digital Song of the Year,
http://www.wikidata.org/entity/Q15087926,Stay the Night,2013-09-10T00:00:00Z,Zedd,,MTV Video Music Award
http://www.wikidata.org/entity/Q14927695,Dark Horse,2013-09-17T00:00:00Z,Katy Perry,MTV Europe Music Award for Best Song,
http://www.wikidata.org/entity/Q14927695,Dark Horse,2013-09-17T00:00:00Z,Juicy J,MTV Europe Music Award for Best Song,
http://www.wikidata.org/entity/Q17060734,My Nigga,2013-09-17T00:00:00Z,Jeezy,BET Award for Best Collaboration,
http://www.wikidata.org/entity/Q17060734,My Nigga,2013-09-17T00:00:00Z,YG,BET Award for Best Collaboration,
http://www.wikidata.org/entity/Q17060734,My Nigga,2013-09-17T00:00:00Z,Rich Homie Quan,BET Award for Best Collaboration,
http://www.wikidata.org/entity/Q15114662,The Monster,2013-10-01T00:00:00Z,Eminem,,Grammy Award for Best Melodic Rap Performance
http://www.wikidata.org/entity/Q15114662,The Monster,2013-10-01T00:00:00Z,Rihanna,,Grammy Award for Best Melodic Rap Performance
http://www.wikidata.org/entity/Q15054054,Timber,2013-10-07T00:00:00Z,Kesha,Juno Award for Songwriter of the Year,
http://www.wikidata.org/entity/Q15054054,Timber,2013-10-07T00:00:00Z,Pitbull,Juno Award for Songwriter of the Year,
http://www.wikidata.org/entity/Q15131296,Erilaiset,2013-10-16T00:00:00Z,Robin Packalen,,gold record
http://www.wikidata.org/entity/Q15275920,Happy,2013-11-21T00:00:00Z,Pharrell Williams,MTV Europe Music Award for Best Song,
http://www.wikidata.org/entity/Q15275920,Happy,2013-11-21T00:00:00Z,Pharrell Williams,Broadcast Film Critics Association Award for Best Song,
http://www.wikidata.org/entity/Q15275920,Happy,2013-11-21T00:00:00Z,Pharrell Williams,Satellite Award for Best Original Song,
http://www.wikidata.org/entity/Q15275920,Happy,2013-11-21T00:00:00Z,Pharrell Williams,BET Award for Viewer's Choice,
http://www.wikidata.org/entity/Q15784282,Atemlos durch die Nacht,2013-11-29T00:00:00Z,Helene Fischer,,ECHO Pop
http://www.wikidata.org/entity/Q15256297,Ordinary Love,2013-11-29T00:00:00Z,U2,,Golden Globe Award for Best Original Song
http://www.wikidata.org/entity/Q15256297,Ordinary Love,2013-11-29T00:00:00Z,U2,Broadcast Film Critics Association Award for Best Song,
http://www.wikidata.org/entity/Q15256297,Ordinary Love,2013-11-29T00:00:00Z,U2,Golden Globe Award for Best Original Song,
http://www.wikidata.org/entity/Q15284481,Ain't It Fun,2014-02-04T00:00:00Z,Paramore,,Grammy Award for Best Rock Song
http://www.wikidata.org/entity/Q15727557,The Moon Song,2014-02-11T00:00:00Z,Karen O,Academy Awards,
http://www.wikidata.org/entity/Q16543942,Controvento,2014-02-18T00:00:00Z,Arisa,,Sanremo Music Festival award
http://www.wikidata.org/entity/Q1163530,Word Up!,2014-03-14T00:00:00Z,Little Mix,"Soul Train Music Award for Best R&B/Soul Single, Group, Band or Duo",
http://www.wikidata.org/entity/Q1163530,Word Up!,2014-03-14T00:00:00Z,Cameo,"Soul Train Music Award for Best R&B/Soul Single, Group, Band or Duo",
http://www.wikidata.org/entity/Q1163530,Word Up!,2014-03-14T00:00:00Z,Little Mix,,"Soul Train Music Award for Best R&B/Soul Single, Group, Band or Duo"
http://www.wikidata.org/entity/Q1163530,Word Up!,2014-03-14T00:00:00Z,Cameo,,"Soul Train Music Award for Best R&B/Soul Single, Group, Band or Duo"
http://www.wikidata.org/entity/Q16634732,Bailando,2014-03-28T00:00:00Z,Enrique Iglesias,Latin Grammy Award for Best Urban Song,
http://www.wikidata.org/entity/Q16634732,Bailando,2014-03-28T00:00:00Z,Descemer Bueno,Latin Grammy Award for Best Urban Song,
http://www.wikidata.org/entity/Q16634732,Bailando,2014-03-28T00:00:00Z,Gente de Zona,Latin Grammy Award for Best Urban Song,
http://www.wikidata.org/entity/Q16634732,Bailando,2014-03-28T00:00:00Z,Enrique Iglesias,Latin Grammy Award for Song of the Year,
http://www.wikidata.org/entity/Q16634732,Bailando,2014-03-28T00:00:00Z,Descemer Bueno,Latin Grammy Award for Song of the Year,
http://www.wikidata.org/entity/Q16634732,Bailando,2014-03-28T00:00:00Z,Gente de Zona,Latin Grammy Award for Song of the Year,
http://www.wikidata.org/entity/Q17151597,Vadelmavene,2014-04-04T00:00:00Z,Kasmir,,gold record
http://www.wikidata.org/entity/Q17151597,Vadelmavene,2014-04-04T00:00:00Z,Kasmir,,platinum record
http://www.wikidata.org/entity/Q16326586,Stay with Me,2014-04-11T00:00:00Z,Sam Smith,,Grammy Award for Song of the Year
http://www.wikidata.org/entity/Q60973212,Samaya samaya,2014-09-09T00:00:00Z,Egor Kreed,,Premiya RU.TV for Best Song
