secondhandsong_ID, wiki_nominated_ID
204, Q108805763
3, Q57836536
156, Q15272117
6, Q28132505
7, Q15275920
8, Q14661781
3819, Q16326586
11, Q16326586
165, Q20962306
145, Q57461813
97, Q18786541
552, Q47555246
26, Q18559542
32, Q14559271
99, Q28572509
34, Q28572509
42, Q20992398
102, Q51010649
46, Q13422120
6640, Q97631372
378, Q97631372
72, Q104774451
5615, Q104905095
83, Q62618893
5067, Q62618893
225, Q84761142
96, Q15087926
454, Q15087926
115, Q951715
81, Q12252332
689, Q83548825
154, Q72008699
119, Q24664844
108, Q19851006
180, Q75219631
161, Q106341597
161, Q62587323
8674, Q106341597
8674, Q62587323
609, Q105865170
4093, Q28842326
194, Q15284481
268, Q98073193
270, Q15054054
1661, Q65427491
610, Q22662704
558, Q85806617
793, Q15727557
2705, Q13461348
852, Q16011758
916, Q15784282
1082, Q18823031
5558, Q96321341
1288, Q61439722
1435, Q15256297
8930, Q19508151
1855, Q18301819
2582, Q105710792
2573, Q97153993
4586, Q5621290
6070, Q85131541
6253, Q108415675
