song,songLabel,release_date,performerLabel,nominated,nominatedLabel,nomination_year,award,awardLabel,award_year
http://www.wikidata.org/entity/Q17628069,Q17628069,2012-01-01T00:00:00Z,C2C,,,,http://www.wikidata.org/entity/Q16682573,Victoire du vidéo-clip,
http://www.wikidata.org/entity/Q16323774,Intelligent,2012-01-01T00:00:00Z,Raske Penge,http://www.wikidata.org/entity/Q108712768,Q108712768,,,,
http://www.wikidata.org/entity/Q109659406,Q109659406,2012-01-15T00:00:00Z,Svetlana Loboda,http://www.wikidata.org/entity/Q25442872,YUNA,,,,
http://www.wikidata.org/entity/Q858020,Frontside Ollie,2012-01-16T00:00:00Z,Robin Packalen,,,,http://www.wikidata.org/entity/Q3194212,platinum record,
http://www.wikidata.org/entity/Q3878196,Non è l'inferno,2012-02-15T00:00:00Z,Emma Marrone,,,,http://www.wikidata.org/entity/Q84321390,Sanremo Music Festival award,
http://www.wikidata.org/entity/Q1359637,There She Goes,2012-04-20T00:00:00Z,Pitbull,,,,http://www.wikidata.org/entity/Q521371,gold record,
http://www.wikidata.org/entity/Q1359637,There She Goes,2012-04-20T00:00:00Z,Taio Cruz,,,,http://www.wikidata.org/entity/Q521371,gold record,
http://www.wikidata.org/entity/Q881555,Kran Turismo,2012-05-11T00:00:00Z,Raappana,,,,http://www.wikidata.org/entity/Q521371,gold record,
http://www.wikidata.org/entity/Q881555,Kran Turismo,2012-05-11T00:00:00Z,JVG,,,,http://www.wikidata.org/entity/Q521371,gold record,
http://www.wikidata.org/entity/Q107494555,Quatre Mains,2012-06-04T00:00:00Z,Deus,http://www.wikidata.org/entity/Q2443005,Q2443005,,,,
http://www.wikidata.org/entity/Q951715,Summertime Sadness,2012-06-22T00:00:00Z,Lana Del Rey,,,,http://www.wikidata.org/entity/Q41254,Grammy Awards,
http://www.wikidata.org/entity/Q1097089,Doom and Gloom,2012-10-11T00:00:00Z,The Rolling Stones,http://www.wikidata.org/entity/Q282636,Grammy Award for Best Rock Song,,,,
http://www.wikidata.org/entity/Q15272117,I See Fire,2013-01-01T00:00:00Z,Ed Sheeran,http://www.wikidata.org/entity/Q919999,Satellite Award for Best Original Song,,,,
http://www.wikidata.org/entity/Q16156194,Fire We Make,2013-01-01T00:00:00Z,Alicia Keys,http://www.wikidata.org/entity/Q1659596,NAACP Image Award for Outstanding Song,,,,
