index,title,title_url,written_by,written_by_url,originally_by,originally_by_url,covers,adaptations
1,Let It Go,https://secondhandsongs.com/work/136771,"Robert Lopez, Kristen Anderson-Lopez","https://secondhandsongs.com/artist/76914, https://secondhandsongs.com/artist/76915",Idina Menzel,https://secondhandsongs.com/artist/44081,150,42
2,All of Me,https://secondhandsongs.com/work/137056,"John Legend, Toby Gad","https://secondhandsongs.com/artist/20721, https://secondhandsongs.com/artist/42306",John Legend,https://secondhandsongs.com/artist/20721,130,2
3,Hello,https://secondhandsongs.com/work/149519,"Adele [GB], Greg Kurstin","https://secondhandsongs.com/artist/30607, https://secondhandsongs.com/artist/40946",Adele,https://secondhandsongs.com/artist/30607,125,1
4,Thinking Out Loud,https://secondhandsongs.com/work/144458,"Ed Sheeran, Amy Wadge","https://secondhandsongs.com/artist/63462, https://secondhandsongs.com/artist/86865",Ed Sheeran,https://secondhandsongs.com/artist/63462,123,2
5,Perfect,https://secondhandsongs.com/work/164640,Ed Sheeran,https://secondhandsongs.com/artist/63462,Ed Sheeran,https://secondhandsongs.com/artist/63462,120,1
6,Shape of You,https://secondhandsongs.com/work/160235,"Steve Mac, Ed Sheeran, Johnny McDaid","https://secondhandsongs.com/artist/6151, https://secondhandsongs.com/artist/63462, https://secondhandsongs.com/artist/87923",Ed Sheeran,https://secondhandsongs.com/artist/63462,106,0
7,Happy,https://secondhandsongs.com/work/136166,Pharrell Williams,https://secondhandsongs.com/artist/11817,Pharrell Williams,https://secondhandsongs.com/artist/11817,104,1
8,Wrecking Ball,https://secondhandsongs.com/work/134320,"Sacha Skarbek, Dr. Luke, Cirkut, MoZella, Stephan Moccio, Kiyanu Kim","https://secondhandsongs.com/artist/29943, https://secondhandsongs.com/artist/35307, https://secondhandsongs.com/artist/71734, https://secondhandsongs.com/artist/73921, https://secondhandsongs.com/artist/73922, https://secondhandsongs.com/artist/122946",Miley Cyrus,https://secondhandsongs.com/artist/35160,100,0
9,Chandelier,https://secondhandsongs.com/work/139740,"Sia, Jesse Shatkin","https://secondhandsongs.com/artist/22802, https://secondhandsongs.com/artist/81489",Sia,https://secondhandsongs.com/artist/22802,100,0
10,Love Yourself,https://secondhandsongs.com/work/149807,"Justin Bieber, Benny Blanco, Ed Sheeran","https://secondhandsongs.com/artist/45405, https://secondhandsongs.com/artist/50110, https://secondhandsongs.com/artist/63462",Justin Bieber,https://secondhandsongs.com/artist/45405,98,0
11,Stay with Me,https://secondhandsongs.com/work/139530,"Sam Smith, Jimmy Napes, William Phillips","https://secondhandsongs.com/artist/74400, https://secondhandsongs.com/artist/74401, https://secondhandsongs.com/artist/81255",Sam Smith,https://secondhandsongs.com/artist/74400,90,1
12,Stay,https://secondhandsongs.com/work/133345,"Justin Parker, Mikky Ekko","https://secondhandsongs.com/artist/71184, https://secondhandsongs.com/artist/72261",Rihanna feat. Mikky Ekko,https://secondhandsongs.com/artist/19179+72261,86,0
13,Shallow,https://secondhandsongs.com/work/197931,"Mark Ronson, Lady Gaga, Andrew Wyatt, Anthony Rossomando","https://secondhandsongs.com/artist/22797, https://secondhandsongs.com/artist/43820, https://secondhandsongs.com/artist/50214, https://secondhandsongs.com/artist/138753",Lady Gaga and Bradley Cooper,https://secondhandsongs.com/artist/43820+138754,85,1
14,Royals,https://secondhandsongs.com/work/134194,"Lorde, Joel Little","https://secondhandsongs.com/artist/73738, https://secondhandsongs.com/artist/73740",Lorde,https://secondhandsongs.com/artist/73738,80,1
15,Can't Stop the Feeling,https://secondhandsongs.com/work/153233,"Max Martin [SE], Justin Timberlake, Shellback","https://secondhandsongs.com/artist/4465, https://secondhandsongs.com/artist/12784, https://secondhandsongs.com/artist/69750",JT,https://secondhandsongs.com/artist/12784,78,0
16,Wake Me Up,https://secondhandsongs.com/work/134622,"Aloe Blacc, Mike Einziger, Avicii","https://secondhandsongs.com/artist/46479, https://secondhandsongs.com/artist/72456, https://secondhandsongs.com/artist/74396",Avicii,https://secondhandsongs.com/artist/74396,77,1
17,Shake It Off,https://secondhandsongs.com/work/148121,"Max Martin [SE], Taylor Swift, Shellback","https://secondhandsongs.com/artist/4465, https://secondhandsongs.com/artist/44127, https://secondhandsongs.com/artist/69750",T.S.,https://secondhandsongs.com/artist/44127,75,0
18,Closer,https://secondhandsongs.com/work/156539,"Isaac Slade, Joe King, Andrew Taggart, Halsey, Shaun Frank, Freddy Kennett","https://secondhandsongs.com/artist/36202, https://secondhandsongs.com/artist/36203, https://secondhandsongs.com/artist/97917, https://secondhandsongs.com/artist/100317, https://secondhandsongs.com/artist/100318, https://secondhandsongs.com/artist/100319",The Chainsmokers ft. Halsey,https://secondhandsongs.com/artist/97918+100317,74,0
19,Love Me Like You Do,https://secondhandsongs.com/work/144326,"Max Martin [SE], Savan Kotecha, Ilya, Tove Lo, Ali Payami","https://secondhandsongs.com/artist/4465, https://secondhandsongs.com/artist/18333, https://secondhandsongs.com/artist/80446, https://secondhandsongs.com/artist/81970, https://secondhandsongs.com/artist/86691",Ellie Goulding,https://secondhandsongs.com/artist/46460,73,0
20,Diamonds,https://secondhandsongs.com/work/133625,"Sia, Mikkel Eriksen, Tor Erik Hermansen, Benny Blanco","https://secondhandsongs.com/artist/22802, https://secondhandsongs.com/artist/37502, https://secondhandsongs.com/artist/37504, https://secondhandsongs.com/artist/50110",Rihanna,https://secondhandsongs.com/artist/19179,71,0
21,Get Lucky,https://secondhandsongs.com/work/132900,"Nile Rodgers, Guy-Manuel de Homem-Christo, Thomas Bangalter, Pharrell Williams","https://secondhandsongs.com/artist/3344, https://secondhandsongs.com/artist/5030, https://secondhandsongs.com/artist/5031, https://secondhandsongs.com/artist/11817",Daft Punk feat. Pharrell Williams,https://secondhandsongs.com/artist/2933+11817,71,1
22,When I Was Your Man,https://secondhandsongs.com/work/133801,"Andrew Wyatt, Bruno Mars, Philip Lawrence, Ari Levine","https://secondhandsongs.com/artist/50214, https://secondhandsongs.com/artist/51310, https://secondhandsongs.com/artist/51311, https://secondhandsongs.com/artist/51312",Bruno Mars,https://secondhandsongs.com/artist/51310,71,1
23,Take Me to Church,https://secondhandsongs.com/work/144354,Hozier,https://secondhandsongs.com/artist/84580,Hozier,https://secondhandsongs.com/artist/84580,70,0
24,Blank Space,https://secondhandsongs.com/work/142497,"Max Martin [SE], Taylor Swift, Shellback","https://secondhandsongs.com/artist/4465, https://secondhandsongs.com/artist/44127, https://secondhandsongs.com/artist/69750",T.S.,https://secondhandsongs.com/artist/44127,70,0
